country,year,pm25,primary_energy_per_capita,renewable_energy_pct,forest_area_pct,energy_use_per_capita,agricultural_land_pct,gdp_per_capita,industry_pct_gdp,trade_pct_gdp,gross_capital_formation_pct,urban_population_pct,life_expectancy,population_density,basic_drinking_water_pct
ARM,2008,30.454755880876,4.14,6.4,11.6254302774851,973.21714524559,61.4260625219529,3141.33193500774,,54.5423279613666,47.9428358213473,64.3840928379746,73.0731707317073,108.433438707411,97.5377930144249
ARM,2009,32.172916805124,4.18,7.8,11.618124341412,851.338387705143,61.3382507903056,2716.97436280471,,57.2742357441995,41.1450508029059,64.3519530388516,73.0731707317073,107.692307692308,97.7810340877485
ARM,2010,34.4470166846987,3.9,9.4,11.610818405339,815.62798698571,60.9413417632596,2796.08143428043,,64.642975973633,38.8147549853077,64.3304164043132,73.1731707317073,106.947664207938,98.0258624289459
ARM,2011,41.8107255386856,4.07,8.0,11.6035124692659,896.948023835655,59.6452406041447,2943.83687119315,,69.4355736620453,31.9217989798477,64.3207449145194,73.8170731707317,106.354056902002,98.272291670612
ARM,2012,43.2896148307344,4.16,6.6,11.5962065331928,982.442415313472,59.1148577449947,3159.75860786889,27.8270946139077,75.9616759606704,24.6809527475996,64.3268379506998,74.119512195122,106.220583069898,98.5203266865955
ARM,2013,41.050500477264,3.92,6.8,11.5889005971198,959.801682347684,59.1148577449947,3266.29882999873,26.7090481417071,77.5550481598824,22.1524900726313,64.3584061131466,74.6219512195122,106.146821215314,98.7705613555546
ARM,2014,38.639237611456,4.12,7.1,11.5815946610467,1045.97511363021,59.0340709518792,3393.09252326884,25.2705329463993,75.778866962639,21.2830406859193,64.4142934233291,74.8731707317073,105.858798735511,99.0173502975581
ARM,2015,38.1148586893988,4.12,10.7,11.5742887249737,1084.52062940136,58.8935721812434,3512.39350276709,25.7086994351611,71.6820743427575,20.7305301265762,64.4929623431549,74.8707317073171,105.535651563049,99.2198934316356
ARM,2016,35.8609078798257,3.93,13.2,11.5669125395153,1043.09797203416,58.8970846505093,3533.88503607007,25.5771330395605,76.0779674593548,18.0155086734171,64.5928753345316,74.8682926829268,105.103617843344,99.3200449240504
ARM,2017,34.0153569947094,3.86,12.6,11.5595363540569,1105.96696981707,58.872497365648,3815.3747426037,25.8095323791656,87.202376539837,18.4217402148728,64.7124948593667,75.2170731707317,104.650509308044,99.420451960465
