country,year,pm25,primary_energy_per_capita,renewable_energy_pct,forest_area_pct,energy_use_per_capita,agricultural_land_pct,gdp_per_capita,industry_pct_gdp,trade_pct_gdp,gross_capital_formation_pct,urban_population_pct,life_expectancy,population_density,basic_drinking_water_pct
ARE,2008,42.9575623148493,5.17,0.1,4.44559279076317,9426.22252523971,7.5978597578147,47922.6988207823,58.0179784435584,148.513544025723,25.0980915438506,82.9658963549658,81.591,88.7449169248099,99.7654123439436
ARE,2009,42.5794070758541,5.84,0.1,4.45667417628837,9485.64696621464,5.46184173472261,42672.1987890808,52.044956000368,153.461944358373,31.6335487625593,83.1701992996163,81.679,94.439003097719,99.7879969026798
ARE,2010,42.4230172315555,5.36,0.1,4.46775556181357,8944.43348137498,5.52379611377077,42328.8508165469,50.2592548678862,135.485709128426,28.9193053739198,83.3714299144178,81.886,96.7310335116868,99.8107941876286
ARE,2011,46.4897172925459,4.99,0.1,4.46775556181357,8558.24529408267,5.47029005913827,43687.7782783233,55.7510208781767,144.176786868982,24.7738271342481,83.5695007795347,81.898,100.035736412278,99.8338027658417
ARE,2012,49.8585704896572,5.13,0.1,4.46775556181357,8614.16881429917,5.30413967896367,43958.5681120856,55.356407543947,156.637694501481,23.421423689147,83.7643244751488,81.913,104.075584342439,99.857009861268
ARE,2013,43.6717315179427,5.17,0.1,4.46775556181357,8858.22242582428,5.34215713883413,44312.6337162614,52.9894122214127,157.398083989641,21.1407254569336,83.9558135814626,81.95,108.322036046184,99.8804113765895
ARE,2014,38.4444708976302,5.64,0.1,4.46775556181357,9633.42212114175,5.3858068149817,44257.6514761082,50.7402069875437,159.515615057764,22.1222022367368,84.1438806787019,81.99,113.481272880879,99.903989878004
ARE,2015,48.347575903809,5.82,0.1,4.46775556181357,10146.376786057,5.39003097718952,44910.334995523,42.1588028480264,164.286182737903,21.643204001152,84.3284383471193,82.076,119.75833568009,99.927750524332
ARE,2016,43.0819708202795,5.87,0.1,4.46775556181357,10355.5476088804,5.40411151788229,45168.4982473243,39.8749229592768,165.39501917458,20.9292537892622,84.5093991669984,82.195,125.8109687412,99.9516742010968
ARE,2017,44.2485056396036,4.87,0.2,4.46775556181357,8521.13677246594,5.40411151788229,43293.0203824801,41.4122717128473,165.476542469815,20.6035948096274,84.686675718659,82.388,129.867994931005,99.9757617709263
