country,year,pm25,primary_energy_per_capita,renewable_energy_pct,forest_area_pct,energy_use_per_capita,agricultural_land_pct,gdp_per_capita,industry_pct_gdp,trade_pct_gdp,gross_capital_formation_pct,urban_population_pct,life_expectancy,population_density,basic_drinking_water_pct
AGO,2008,24.1723114771848,2.51,55.4,58.769649474613,472.064397001416,35.4495869094409,3559.19522512236,56.2078263483829,108.680408741993,31.0476642804707,58.5851745819614,55.281,17.3086187535093,47.9390179800655
AGO,2009,24.1720241654505,2.77,53.0,58.3244252827465,504.92416679274,35.7985080612818,3494.80724466172,40.9723218323879,102.263183257986,42.1126629946906,59.3775316348744,56.225,17.9792837089917,49.4231763682417
AGO,2010,24.17805671622,2.65,53.1,57.8792010908799,487.281074343005,35.9749739311783,3540.79159568381,48.5501387093455,90.9940631355109,29.7638327935383,60.1310289535053,57.242,18.6851888986925,50.922281472487
AGO,2011,24.337940171596,2.65,51.7,57.4339760968958,486.235365702241,36.3487607283228,3528.16824373399,52.1706630052286,89.0369443425845,27.3662454536118,60.8431610396073,58.093,19.4259661506377,52.4357414255652
AGO,2012,24.4804929012722,2.78,49.0,56.9887511029117,531.24332255994,36.3383331996471,3682.35229322763,53.3611036467722,81.9394785486361,27.9685614009235,61.5114223949332,58.916,20.1952306088073,53.962934811933
AGO,2013,24.5386584342125,2.65,46.8,56.5435261089276,512.021802587495,36.4867249538782,3716.29718727282,50.3750405397121,77.3498013716078,26.9937630528609,62.1333075212361,59.705,20.9879040667362,55.5032279600653
AGO,2014,23.9455836380328,2.29,47.5,56.0983011149435,447.160325436651,36.6359188256998,3746.81619978613,43.9966362099567,69.5801424481147,28.8734781928265,62.723115793241,60.396,21.7861305847437,57.0569115656449
AGO,2015,25.0021502571501,2.72,47.1,55.6530761209593,517.525209417242,36.7281623486003,3641.72893919944,36.7338841349078,54.9793808779835,29.1086095935763,63.51567832685,61.042,22.5858650838213,58.6196312007677
AGO,2016,25.1807008149163,2.59,48.1,55.2078447100345,462.934994006148,36.7562364642657,3454.03317187119,37.3943513261608,47.0155661405313,30.134293482854,64.2992302517989,61.619,23.4082537900056,60.1920620185519
AGO,2017,23.9591508117097,2.65,52.5,54.7626293414615,456.692217487614,36.7089115264298,3328.8982124109,37.0989345106935,45.6643423539921,29.1829432051553,65.0850525086068,62.122,24.2518962059838,61.7735122104541
